,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_EMPLOYED,CNT_FAM_MEMBERS
1163,0.0,0.0,1.0,0.5,0.2631578947368421,1.0,1.0,0.25,0.2,0.8564223035998065,1.0
1164,0.0,0.0,1.0,0.5,0.2631578947368421,1.0,1.0,0.25,0.2,0.8564223035998065,1.0
1165,0.0,0.0,1.0,0.5,0.2631578947368421,1.0,1.0,0.25,0.2,0.8564223035998065,1.0
1166,0.0,0.0,1.0,0.5,0.2631578947368421,1.0,1.0,0.25,0.2,0.8564223035998065,1.0
1167,0.0,0.0,1.0,0.5,0.2631578947368421,1.0,1.0,0.25,0.2,0.8564223035998065,1.0
1168,0.0,0.0,1.0,0.5,0.2631578947368421,1.0,1.0,0.25,0.2,0.8564223035998065,1.0
1169,0.0,0.0,1.0,0.5,0.2631578947368421,1.0,1.0,0.25,0.2,0.8564223035998065,1.0
1170,0.0,0.0,1.0,0.5,0.2631578947368421,1.0,1.0,0.25,0.2,0.8564223035998065,1.0
1184,0.0,1.0,1.0,0.0,0.13157894736842105,1.0,1.0,0.25,0.2,0.6018793615698197,0.0
1185,0.0,1.0,1.0,0.0,0.13157894736842105,1.0,1.0,0.25,0.2,0.6018793615698197,0.0
1186,0.0,1.0,1.0,0.0,0.13157894736842105,1.0,1.0,0.25,0.2,0.6018793615698197,0.0
1187,0.0,1.0,1.0,0.0,0.13157894736842105,1.0,1.0,0.25,0.2,0.6018793615698197,0.0
1188,0.0,1.0,1.0,0.0,0.13157894736842105,1.0,1.0,0.25,0.2,0.6018793615698197,0.0
1189,0.0,1.0,1.0,0.0,0.13157894736842105,1.0,1.0,0.25,0.2,0.6018793615698197,0.0
1190,0.0,1.0,1.0,0.0,0.13157894736842105,1.0,1.0,0.25,0.2,0.6018793615698197,0.0
1191,0.0,1.0,1.0,0.0,0.13157894736842105,1.0,1.0,0.25,0.2,0.6018793615698197,0.0
1206,1.0,1.0,1.0,0.5,0.21052631578947367,0.0,1.0,0.0,0.2,0.7049678712084572,1.0
1207,1.0,1.0,1.0,0.5,0.21052631578947367,0.0,1.0,0.0,0.2,0.7049678712084572,1.0
1208,1.0,1.0,1.0,0.5,0.21052631578947367,0.0,1.0,0.0,0.2,0.7049678712084572,1.0
1209,1.0,1.0,1.0,0.5,0.21052631578947367,0.0,1.0,0.0,0.2,0.7049678712084572,1.0
1210,1.0,1.0,1.0,0.5,0.21052631578947367,0.0,1.0,0.0,0.2,0.7049678712084572,1.0
1243,0.0,1.0,1.0,0.0,0.05263157894736842,0.5,1.0,0.25,0.2,0.4442064533959787,0.0
1244,0.0,1.0,1.0,0.0,0.05263157894736842,0.5,1.0,0.25,0.2,0.4442064533959787,0.0
1245,0.0,1.0,1.0,0.0,0.05263157894736842,0.5,1.0,0.25,0.2,0.4442064533959787,0.0
1246,0.0,1.0,1.0,0.0,0.05263157894736842,0.5,1.0,0.25,0.2,0.4442064533959787,0.0
1247,0.0,1.0,1.0,0.0,0.05263157894736842,0.5,1.0,0.25,0.2,0.4442064533959787,0.0
1248,0.0,1.0,1.0,0.0,0.05263157894736842,0.5,1.0,0.25,0.2,0.4442064533959787,0.0
1249,0.0,1.0,1.0,0.0,0.05263157894736842,0.5,1.0,0.25,0.2,0.4442064533959787,0.0
1250,0.0,1.0,1.0,0.0,0.05263157894736842,0.5,1.0,0.25,0.2,0.4442064533959787,0.0
1251,0.0,1.0,1.0,0.0,0.05263157894736842,0.5,1.0,0.25,0.2,0.4442064533959787,0.0
1274,0.0,1.0,1.0,0.0,0.02631578947368421,1.0,1.0,0.0,0.2,0.7512609687003385,0.0
1275,0.0,1.0,1.0,0.0,0.02631578947368421,1.0,1.0,0.0,0.2,0.7512609687003385,0.0
1276,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1277,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1278,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1279,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1280,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1281,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1282,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1283,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1284,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1285,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1286,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1287,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1288,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1289,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1290,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1291,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1292,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1293,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1294,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1295,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1296,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1297,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1298,1.0,0.0,1.0,0.0,0.6052631578947368,1.0,0.5,0.25,0.2,0.6103779451392247,0.0
1325,0.0,1.0,1.0,0.0,0.07894736842105263,0.0,1.0,0.25,0.2,0.8648517929938506,0.0
1326,0.0,1.0,1.0,0.0,0.07894736842105263,0.0,1.0,0.25,0.2,0.8648517929938506,0.0
1327,0.0,1.0,1.0,0.0,0.07894736842105263,0.0,1.0,0.25,0.2,0.8648517929938506,0.0
1328,0.0,1.0,1.0,0.0,0.07894736842105263,0.0,1.0,0.25,0.2,0.8648517929938506,0.0
1329,0.0,1.0,1.0,0.0,0.07894736842105263,0.0,1.0,0.25,0.2,0.8648517929938506,0.0
1330,0.0,1.0,1.0,0.0,0.07894736842105263,0.0,1.0,0.25,0.2,0.8648517929938506,0.0
1331,0.0,1.0,1.0,0.0,0.07894736842105263,0.0,1.0,0.25,0.2,0.8648517929938506,0.0
1332,0.0,1.0,1.0,0.0,0.07894736842105263,0.0,1.0,0.25,0.2,0.8648517929938506,0.0
